date,item,quantity,unit_price,revenue,time
2024-01-01,Single-Origin Pour Over,20,5.44,108.78,08:00:00
2024-01-01,Oat Milk Latte,14,6.08,85.15,08:00:36
2024-01-01,Honey Lavender Latte,10,6.28,62.83,08:01:12
2024-01-01,Turmeric Ginger Latte,10,6.29,62.87,08:01:49
2024-01-01,Cold Brew Concentrate,11,5.92,65.14,08:02:25
2024-01-01,Nitro Cold Brew,9,6.18,55.63,08:03:02
2024-01-01,Matcha Espresso Fusion,16,6.52,104.25,08:03:38
2024-01-01,Blue Pea Flower Tea,20,4.61,92.27,08:04:14
2024-01-01,Sourdough Toast,9,5.93,53.41,08:04:51
2024-01-01,Almond Butter Croissant,4,5.45,21.8,08:05:27
2024-01-01,Vegan Morning Bun,6,5.85,35.12,08:06:04
2024-01-02,Single-Origin Pour Over,10,5.76,57.57,08:06:40
2024-01-02,Oat Milk Latte,6,6.0,36.01,08:07:16
2024-01-02,Honey Lavender Latte,8,6.86,54.87,08:07:53
2024-01-02,Turmeric Ginger Latte,8,6.42,51.4,08:08:29
2024-01-02,Cold Brew Concentrate,10,5.86,58.63,08:09:06
2024-01-02,Nitro Cold Brew,5,6.26,31.32,08:09:42
2024-01-02,Matcha Espresso Fusion,8,6.8,54.44,08:10:18
2024-01-02,Blue Pea Flower Tea,7,4.55,31.83,08:10:55
2024-01-02,Sourdough Toast,6,6.31,37.86,08:11:31
2024-01-02,Almond Butter Croissant,3,5.18,15.54,08:12:08
2024-01-02,Vegan Morning Bun,15,5.8,86.93,08:12:44
2024-01-03,Single-Origin Pour Over,9,5.58,50.26,08:13:20
2024-01-03,Oat Milk Latte,9,5.81,52.26,08:13:57
2024-01-03,Honey Lavender Latte,1,6.71,6.71,08:14:33
2024-01-03,Turmeric Ginger Latte,10,6.49,64.85,08:15:10
2024-01-03,Cold Brew Concentrate,17,5.74,97.63,08:15:46
2024-01-03,Nitro Cold Brew,17,6.43,109.38,08:16:22
2024-01-03,Matcha Espresso Fusion,16,6.71,107.39,08:16:59
2024-01-03,Blue Pea Flower Tea,2,4.54,9.08,08:17:35
2024-01-03,Sourdough Toast,17,6.22,105.75,08:18:12
2024-01-03,Almond Butter Croissant,18,5.31,95.56,08:18:48
2024-01-03,Vegan Morning Bun,8,5.55,44.38,08:19:24
2024-01-04,Single-Origin Pour Over,12,5.38,64.55,08:20:01
2024-01-04,Oat Milk Latte,12,5.87,70.46,08:20:37
2024-01-04,Honey Lavender Latte,6,6.87,41.21,08:21:14
2024-01-04,Turmeric Ginger Latte,14,6.46,90.44,08:21:50
2024-01-04,Cold Brew Concentrate,21,5.67,119.1,08:22:26
2024-01-04,Nitro Cold Brew,11,6.55,72.02,08:23:03
2024-01-04,Matcha Espresso Fusion,20,6.98,139.68,08:23:39
2024-01-04,Blue Pea Flower Tea,15,4.66,69.93,08:24:16
2024-01-04,Sourdough Toast,13,5.99,77.84,08:24:52
2024-01-04,Almond Butter Croissant,5,5.12,25.62,08:25:28
2024-01-04,Vegan Morning Bun,13,5.97,77.63,08:26:05
2024-01-05,Single-Origin Pour Over,12,5.31,63.7,08:26:41
2024-01-05,Oat Milk Latte,17,6.07,103.15,08:27:18
2024-01-05,Honey Lavender Latte,1,6.39,6.39,08:27:54
2024-01-05,Turmeric Ginger Latte,7,6.12,42.81,08:28:30
2024-01-05,Cold Brew Concentrate,7,5.77,40.38,08:29:07
2024-01-05,Nitro Cold Brew,13,6.03,78.41,08:29:43
2024-01-05,Matcha Espresso Fusion,15,6.92,103.85,08:30:20
2024-01-05,Blue Pea Flower Tea,7,4.56,31.93,08:30:56
2024-01-05,Sourdough Toast,16,6.37,101.95,08:31:32
2024-01-05,Almond Butter Croissant,5,5.28,26.42,08:32:09
2024-01-05,Vegan Morning Bun,18,5.61,100.99,08:32:45
2024-01-06,Single-Origin Pour Over,12,5.42,65.03,08:33:22
2024-01-06,Oat Milk Latte,15,5.97,89.57,08:33:58
2024-01-06,Honey Lavender Latte,13,6.29,81.8,08:34:34
2024-01-06,Turmeric Ginger Latte,9,6.48,58.34,08:35:11
2024-01-06,Cold Brew Concentrate,15,5.6,84.04,08:35:47
2024-01-06,Nitro Cold Brew,16,6.47,103.56,08:36:24
2024-01-06,Matcha Espresso Fusion,14,6.73,94.27,08:37:00
2024-01-06,Blue Pea Flower Tea,8,4.45,35.63,08:37:36
2024-01-06,Sourdough Toast,14,6.02,84.32,08:38:13
2024-01-06,Almond Butter Croissant,13,5.63,73.21,08:38:49
2024-01-06,Vegan Morning Bun,13,5.74,74.61,08:39:26
2024-01-07,Single-Origin Pour Over,8,5.79,46.3,08:40:02
2024-01-07,Oat Milk Latte,8,6.38,51.02,08:40:38
2024-01-07,Honey Lavender Latte,11,6.44,70.8,08:41:15
2024-01-07,Turmeric Ginger Latte,21,6.54,137.38,08:41:51
2024-01-07,Cold Brew Concentrate,14,6.05,84.72,08:42:28
2024-01-07,Nitro Cold Brew,9,6.2,55.84,08:43:04
2024-01-07,Matcha Espresso Fusion,9,6.85,61.66,08:43:40
2024-01-07,Blue Pea Flower Tea,3,4.31,12.94,08:44:17
2024-01-07,Sourdough Toast,12,6.25,75.04,08:44:53
2024-01-07,Almond Butter Croissant,18,5.15,92.7,08:45:30
2024-01-07,Vegan Morning Bun,14,5.96,83.37,08:46:06
2024-01-08,Single-Origin Pour Over,11,5.8,63.76,08:46:42
2024-01-08,Oat Milk Latte,7,6.09,42.6,08:47:19
2024-01-08,Honey Lavender Latte,17,6.35,107.98,08:47:55
2024-01-08,Turmeric Ginger Latte,12,6.54,78.47,08:48:32
2024-01-08,Cold Brew Concentrate,14,5.55,77.67,08:49:08
2024-01-08,Nitro Cold Brew,8,6.57,52.6,08:49:44
2024-01-08,Matcha Espresso Fusion,11,6.79,74.69,08:50:21
2024-01-08,Blue Pea Flower Tea,8,4.37,34.96,08:50:57
2024-01-08,Sourdough Toast,12,6.03,72.4,08:51:34
2024-01-08,Almond Butter Croissant,25,5.4,135.08,08:52:10
2024-01-08,Vegan Morning Bun,11,5.74,63.17,08:52:46
2024-01-09,Single-Origin Pour Over,6,5.43,32.57,08:53:23
2024-01-09,Oat Milk Latte,13,6.27,81.5,08:53:59
2024-01-09,Honey Lavender Latte,9,6.41,57.67,08:54:36
2024-01-09,Turmeric Ginger Latte,9,6.31,56.81,08:55:12
2024-01-09,Cold Brew Concentrate,5,5.94,29.71,08:55:48
2024-01-09,Nitro Cold Brew,11,6.52,71.69,08:56:25
2024-01-09,Matcha Espresso Fusion,20,6.75,135.08,08:57:01
2024-01-09,Blue Pea Flower Tea,15,4.28,64.2,08:57:38
2024-01-09,Sourdough Toast,1,6.14,6.14,08:58:14
2024-01-09,Almond Butter Croissant,7,5.09,35.61,08:58:50
2024-01-09,Vegan Morning Bun,15,5.67,85.08,08:59:27
2024-01-10,Single-Origin Pour Over,9,5.52,49.65,09:00:03
2024-01-10,Oat Milk Latte,11,5.84,64.29,09:00:40
2024-01-10,Honey Lavender Latte,13,6.71,87.18,09:01:16
2024-01-10,Turmeric Ginger Latte,21,6.03,126.57,09:01:52
2024-01-10,Cold Brew Concentrate,17,5.77,98.11,09:02:29
2024-01-10,Nitro Cold Brew,10,6.19,61.92,09:03:05
2024-01-10,Matcha Espresso Fusion,12,7.14,85.71,09:03:42
2024-01-10,Blue Pea Flower Tea,11,4.73,52.01,09:04:18
2024-01-10,Sourdough Toast,14,6.16,86.26,09:04:54
2024-01-10,Almond Butter Croissant,17,5.11,86.91,09:05:31
2024-01-10,Vegan Morning Bun,11,6.04,66.42,09:06:07
2024-01-11,Single-Origin Pour Over,9,5.69,51.18,09:06:44
2024-01-11,Oat Milk Latte,21,6.05,127.03,09:07:20
2024-01-11,Honey Lavender Latte,10,6.58,65.8,09:07:56
2024-01-11,Turmeric Ginger Latte,13,6.57,85.36,09:08:33
2024-01-11,Cold Brew Concentrate,13,5.72,74.42,09:09:09
2024-01-11,Nitro Cold Brew,10,6.04,60.37,09:09:46
2024-01-11,Matcha Espresso Fusion,8,6.98,55.82,09:10:22
2024-01-11,Blue Pea Flower Tea,20,4.56,91.2,09:10:58
2024-01-11,Sourdough Toast,1,5.94,5.94,09:11:35
2024-01-11,Almond Butter Croissant,12,5.59,67.03,09:12:11
2024-01-11,Vegan Morning Bun,17,6.08,103.4,09:12:48
2024-01-12,Single-Origin Pour Over,15,5.41,81.19,09:13:24
2024-01-12,Oat Milk Latte,26,5.82,151.44,09:14:00
2024-01-12,Honey Lavender Latte,13,6.75,87.69,09:14:37
2024-01-12,Turmeric Ginger Latte,12,6.08,72.99,09:15:13
2024-01-12,Cold Brew Concentrate,5,5.55,27.74,09:15:50
2024-01-12,Nitro Cold Brew,11,6.44,70.82,09:16:26
2024-01-12,Matcha Espresso Fusion,24,7.01,168.34,09:17:02
2024-01-12,Blue Pea Flower Tea,17,4.67,79.44,09:17:39
2024-01-12,Sourdough Toast,21,6.1,128.16,09:18:15
2024-01-12,Almond Butter Croissant,17,5.29,89.99,09:18:52
2024-01-12,Vegan Morning Bun,12,5.85,70.17,09:19:28
2024-01-13,Single-Origin Pour Over,9,5.53,49.78,09:20:04
2024-01-13,Oat Milk Latte,13,5.82,75.61,09:20:41
2024-01-13,Honey Lavender Latte,8,6.59,52.68,09:21:17
2024-01-13,Turmeric Ginger Latte,8,6.37,50.97,09:21:54
2024-01-13,Cold Brew Concentrate,11,6.08,66.87,09:22:30
2024-01-13,Nitro Cold Brew,18,6.26,112.62,09:23:06
2024-01-13,Matcha Espresso Fusion,13,6.91,89.77,09:23:43
2024-01-13,Blue Pea Flower Tea,20,4.43,88.52,09:24:19
2024-01-13,Sourdough Toast,12,6.4,76.77,09:24:56
2024-01-13,Almond Butter Croissant,6,5.03,30.19,09:25:32
2024-01-13,Vegan Morning Bun,17,5.53,93.93,09:26:08
2024-01-14,Single-Origin Pour Over,7,5.74,40.15,09:26:45
2024-01-14,Oat Milk Latte,20,6.11,122.16,09:27:21
2024-01-14,Honey Lavender Latte,14,6.86,96.05,09:27:58
2024-01-14,Turmeric Ginger Latte,16,6.03,96.53,09:28:34
2024-01-14,Cold Brew Concentrate,2,5.86,11.72,09:29:10
2024-01-14,Nitro Cold Brew,13,6.61,85.99,09:29:47
2024-01-14,Matcha Espresso Fusion,11,6.59,72.49,09:30:23
2024-01-14,Blue Pea Flower Tea,15,4.6,69.05,09:31:00
2024-01-14,Sourdough Toast,7,6.1,42.68,09:31:36
2024-01-14,Almond Butter Croissant,10,5.26,52.55,09:32:12
2024-01-14,Vegan Morning Bun,11,6.15,67.64,09:32:49
2024-01-15,Single-Origin Pour Over,13,5.38,69.91,09:33:25
2024-01-15,Oat Milk Latte,18,6.35,114.27,09:34:02
2024-01-15,Honey Lavender Latte,21,6.38,134.02,09:34:38
2024-01-15,Turmeric Ginger Latte,5,6.21,31.07,09:35:14
2024-01-15,Cold Brew Concentrate,6,5.51,33.09,09:35:51
2024-01-15,Nitro Cold Brew,3,6.43,19.29,09:36:27
2024-01-15,Matcha Espresso Fusion,13,6.9,89.74,09:37:04
2024-01-15,Blue Pea Flower Tea,6,4.7,28.22,09:37:40
2024-01-15,Sourdough Toast,6,6.24,37.45,09:38:16
2024-01-15,Almond Butter Croissant,6,5.25,31.51,09:38:53
2024-01-15,Vegan Morning Bun,7,6.14,42.95,09:39:29
2024-01-16,Single-Origin Pour Over,4,5.53,22.14,09:40:06
2024-01-16,Oat Milk Latte,8,6.34,50.75,09:40:42
2024-01-16,Honey Lavender Latte,20,6.72,134.35,09:41:18
2024-01-16,Turmeric Ginger Latte,7,6.24,43.65,09:41:55
2024-01-16,Cold Brew Concentrate,11,5.82,64.01,09:42:31
2024-01-16,Nitro Cold Brew,13,6.14,79.77,09:43:08
2024-01-16,Matcha Espresso Fusion,3,6.82,20.46,09:43:44
2024-01-16,Blue Pea Flower Tea,22,4.73,104.16,09:44:20
2024-01-16,Sourdough Toast,13,6.22,80.92,09:44:57
2024-01-16,Almond Butter Croissant,5,5.57,27.84,09:45:33
2024-01-16,Vegan Morning Bun,1,5.74,5.74,09:46:10
2024-01-17,Single-Origin Pour Over,12,5.45,65.38,09:46:46
2024-01-17,Oat Milk Latte,15,6.15,92.32,09:47:22
2024-01-17,Honey Lavender Latte,13,6.47,84.14,09:47:59
2024-01-17,Turmeric Ginger Latte,21,6.3,132.22,09:48:35
2024-01-17,Cold Brew Concentrate,10,5.59,55.94,09:49:12
2024-01-17,Nitro Cold Brew,9,6.43,57.9,09:49:48
2024-01-17,Matcha Espresso Fusion,12,6.54,78.48,09:50:24
2024-01-17,Blue Pea Flower Tea,1,4.37,4.37,09:51:01
2024-01-17,Sourdough Toast,16,6.3,100.88,09:51:37
2024-01-17,Almond Butter Croissant,19,5.63,106.89,09:52:14
2024-01-17,Vegan Morning Bun,18,5.79,104.24,09:52:50
2024-01-18,Single-Origin Pour Over,4,5.58,22.31,09:53:26
2024-01-18,Oat Milk Latte,13,6.16,80.02,09:54:03
2024-01-18,Honey Lavender Latte,11,6.34,69.76,09:54:39
2024-01-18,Turmeric Ginger Latte,12,6.01,72.11,09:55:16
2024-01-18,Cold Brew Concentrate,16,6.02,96.38,09:55:52
2024-01-18,Nitro Cold Brew,12,6.28,75.35,09:56:28
2024-01-18,Matcha Espresso Fusion,13,6.75,87.72,09:57:05
2024-01-18,Blue Pea Flower Tea,9,4.76,42.84,09:57:41
2024-01-18,Sourdough Toast,13,6.07,78.96,09:58:18
2024-01-18,Almond Butter Croissant,7,5.11,35.79,09:58:54
2024-01-18,Vegan Morning Bun,10,6.06,60.59,09:59:30
2024-01-19,Single-Origin Pour Over,14,5.77,80.82,10:00:07
2024-01-19,Oat Milk Latte,9,5.81,52.26,10:00:43
2024-01-19,Honey Lavender Latte,19,6.57,124.8,10:01:20
2024-01-19,Turmeric Ginger Latte,10,6.56,65.63,10:01:56
2024-01-19,Cold Brew Concentrate,19,5.64,107.14,10:02:32
2024-01-19,Nitro Cold Brew,5,6.55,32.74,10:03:09
2024-01-19,Matcha Espresso Fusion,13,6.71,87.23,10:03:45
2024-01-19,Blue Pea Flower Tea,17,4.48,76.09,10:04:22
2024-01-19,Sourdough Toast,7,6.08,42.57,10:04:58
2024-01-19,Almond Butter Croissant,13,5.19,67.5,10:05:34
2024-01-19,Vegan Morning Bun,5,6.04,30.21,10:06:11
2024-01-20,Single-Origin Pour Over,6,5.36,32.18,10:06:47
2024-01-20,Oat Milk Latte,8,5.76,46.08,10:07:24
2024-01-20,Honey Lavender Latte,9,6.53,58.74,10:08:00
2024-01-20,Turmeric Ginger Latte,1,6.56,6.56,10:08:36
2024-01-20,Cold Brew Concentrate,9,5.84,52.59,10:09:13
2024-01-20,Nitro Cold Brew,22,6.05,133.14,10:09:49
2024-01-20,Matcha Espresso Fusion,15,7.05,105.68,10:10:26
2024-01-20,Blue Pea Flower Tea,12,4.85,58.22,10:11:02
2024-01-20,Sourdough Toast,7,6.11,42.75,10:11:38
2024-01-20,Almond Butter Croissant,18,5.59,100.54,10:12:15
2024-01-20,Vegan Morning Bun,7,5.9,41.3,10:12:51
2024-01-21,Single-Origin Pour Over,21,5.36,112.65,10:13:28
2024-01-21,Oat Milk Latte,13,5.91,76.82,10:14:04
2024-01-21,Honey Lavender Latte,10,6.74,67.38,10:14:40
2024-01-21,Turmeric Ginger Latte,8,6.45,51.61,10:15:17
2024-01-21,Cold Brew Concentrate,15,6.02,90.24,10:15:53
2024-01-21,Nitro Cold Brew,17,6.1,103.65,10:16:30
2024-01-21,Matcha Espresso Fusion,10,6.82,68.2,10:17:06
2024-01-21,Blue Pea Flower Tea,12,4.8,57.58,10:17:42
2024-01-21,Sourdough Toast,2,5.93,11.86,10:18:19
2024-01-21,Almond Butter Croissant,10,5.26,52.56,10:18:55
2024-01-21,Vegan Morning Bun,8,5.78,46.26,10:19:32
2024-01-22,Single-Origin Pour Over,16,5.72,91.52,10:20:08
2024-01-22,Oat Milk Latte,17,6.07,103.14,10:20:44
2024-01-22,Honey Lavender Latte,17,6.34,107.83,10:21:21
2024-01-22,Turmeric Ginger Latte,11,6.53,71.8,10:21:57
2024-01-22,Cold Brew Concentrate,12,5.5,66.06,10:22:34
2024-01-22,Nitro Cold Brew,4,6.45,25.81,10:23:10
2024-01-22,Matcha Espresso Fusion,10,6.93,69.31,10:23:46
2024-01-22,Blue Pea Flower Tea,21,4.89,102.6,10:24:23
2024-01-22,Sourdough Toast,10,5.81,58.11,10:24:59
2024-01-22,Almond Butter Croissant,21,5.41,113.64,10:25:36
2024-01-22,Vegan Morning Bun,15,5.67,85.06,10:26:12
2024-01-23,Single-Origin Pour Over,10,5.8,57.99,10:26:48
2024-01-23,Oat Milk Latte,14,6.06,84.78,10:27:25
2024-01-23,Honey Lavender Latte,13,6.3,81.91,10:28:01
2024-01-23,Turmeric Ginger Latte,10,6.52,65.17,10:28:38
2024-01-23,Cold Brew Concentrate,16,6.02,96.35,10:29:14
2024-01-23,Nitro Cold Brew,13,6.26,81.4,10:29:50
2024-01-23,Matcha Espresso Fusion,9,6.5,58.51,10:30:27
2024-01-23,Blue Pea Flower Tea,8,4.67,37.4,10:31:03
2024-01-23,Sourdough Toast,9,6.2,55.77,10:31:40
2024-01-23,Almond Butter Croissant,4,5.29,21.16,10:32:16
2024-01-23,Vegan Morning Bun,7,5.72,40.04,10:32:52
2024-01-24,Single-Origin Pour Over,12,5.38,64.61,10:33:29
2024-01-24,Oat Milk Latte,19,6.08,115.48,10:34:05
2024-01-24,Honey Lavender Latte,16,6.28,100.46,10:34:42
2024-01-24,Turmeric Ginger Latte,7,6.17,43.22,10:35:18
2024-01-24,Cold Brew Concentrate,8,5.67,45.37,10:35:54
2024-01-24,Nitro Cold Brew,13,6.23,80.93,10:36:31
2024-01-24,Matcha Espresso Fusion,14,7.11,99.57,10:37:07
2024-01-24,Blue Pea Flower Tea,5,4.72,23.62,10:37:44
2024-01-24,Sourdough Toast,11,5.92,65.1,10:38:20
2024-01-24,Almond Butter Croissant,14,5.19,72.64,10:38:56
2024-01-24,Vegan Morning Bun,15,5.8,86.98,10:39:33
2024-01-25,Single-Origin Pour Over,16,5.59,89.48,10:40:09
2024-01-25,Oat Milk Latte,18,5.89,106.01,10:40:46
2024-01-25,Honey Lavender Latte,17,6.55,111.3,10:41:22
2024-01-25,Turmeric Ginger Latte,6,6.47,38.8,10:41:58
2024-01-25,Cold Brew Concentrate,6,5.56,33.39,10:42:35
2024-01-25,Nitro Cold Brew,18,6.44,115.97,10:43:11
2024-01-25,Matcha Espresso Fusion,16,6.58,105.3,10:43:48
2024-01-25,Blue Pea Flower Tea,2,4.34,8.69,10:44:24
2024-01-25,Sourdough Toast,21,5.83,122.35,10:45:00
2024-01-25,Almond Butter Croissant,7,5.5,38.52,10:45:37
2024-01-25,Vegan Morning Bun,14,5.99,83.82,10:46:13
2024-01-26,Single-Origin Pour Over,16,5.41,86.48,10:46:50
2024-01-26,Oat Milk Latte,10,5.83,58.32,10:47:26
2024-01-26,Honey Lavender Latte,8,6.52,52.17,10:48:02
2024-01-26,Turmeric Ginger Latte,8,6.56,52.45,10:48:39
2024-01-26,Cold Brew Concentrate,16,5.79,92.71,10:49:15
2024-01-26,Nitro Cold Brew,14,6.29,87.99,10:49:52
2024-01-26,Matcha Espresso Fusion,6,6.71,40.29,10:50:28
2024-01-26,Blue Pea Flower Tea,13,4.74,61.6,10:51:04
2024-01-26,Sourdough Toast,12,5.94,71.29,10:51:41
2024-01-26,Almond Butter Croissant,3,5.64,16.92,10:52:17
2024-01-26,Vegan Morning Bun,5,5.5,27.51,10:52:54
2024-01-27,Single-Origin Pour Over,12,5.35,64.22,10:53:30
2024-01-27,Oat Milk Latte,22,6.17,135.68,10:54:06
2024-01-27,Honey Lavender Latte,14,6.3,88.21,10:54:43
2024-01-27,Turmeric Ginger Latte,15,6.52,97.75,10:55:19
2024-01-27,Cold Brew Concentrate,16,5.87,93.85,10:55:56
2024-01-27,Nitro Cold Brew,9,6.05,54.47,10:56:32
2024-01-27,Matcha Espresso Fusion,14,6.79,95.11,10:57:08
2024-01-27,Blue Pea Flower Tea,19,4.66,88.63,10:57:45
2024-01-27,Sourdough Toast,9,6.34,57.09,10:58:21
2024-01-27,Almond Butter Croissant,11,5.19,57.06,10:58:58
2024-01-27,Vegan Morning Bun,14,5.8,81.21,10:59:34
2024-01-28,Single-Origin Pour Over,13,5.78,75.13,11:00:10
2024-01-28,Oat Milk Latte,6,5.94,35.64,11:00:47
2024-01-28,Honey Lavender Latte,4,6.44,25.77,11:01:23
2024-01-28,Turmeric Ginger Latte,2,6.04,12.09,11:02:00
2024-01-28,Cold Brew Concentrate,15,5.95,89.23,11:02:36
2024-01-28,Nitro Cold Brew,7,6.12,42.85,11:03:12
2024-01-28,Matcha Espresso Fusion,4,6.53,26.13,11:03:49
2024-01-28,Blue Pea Flower Tea,7,4.86,33.99,11:04:25
2024-01-28,Sourdough Toast,21,5.76,121.01,11:05:02
2024-01-28,Almond Butter Croissant,1,5.21,5.21,11:05:38
2024-01-28,Vegan Morning Bun,12,6.13,73.6,11:06:14
2024-01-29,Single-Origin Pour Over,15,5.83,87.42,11:06:51
2024-01-29,Oat Milk Latte,12,5.97,71.65,11:07:27
2024-01-29,Honey Lavender Latte,6,6.49,38.93,11:08:04
2024-01-29,Turmeric Ginger Latte,14,6.45,90.23,11:08:40
2024-01-29,Cold Brew Concentrate,7,5.55,38.86,11:09:16
2024-01-29,Nitro Cold Brew,12,6.5,78.01,11:09:53
2024-01-29,Matcha Espresso Fusion,16,6.64,106.3,11:10:29
2024-01-29,Blue Pea Flower Tea,18,4.76,85.67,11:11:06
2024-01-29,Sourdough Toast,6,5.86,35.15,11:11:42
2024-01-29,Almond Butter Croissant,13,5.4,70.25,11:12:18
2024-01-29,Vegan Morning Bun,12,5.69,68.3,11:12:55
2024-01-30,Single-Origin Pour Over,13,5.72,74.3,11:13:31
2024-01-30,Oat Milk Latte,14,6.02,84.27,11:14:08
2024-01-30,Honey Lavender Latte,6,6.27,37.62,11:14:44
2024-01-30,Turmeric Ginger Latte,19,6.59,125.26,11:15:20
2024-01-30,Cold Brew Concentrate,28,5.96,166.94,11:15:57
2024-01-30,Nitro Cold Brew,17,6.16,104.76,11:16:33
2024-01-30,Matcha Espresso Fusion,5,6.93,34.63,11:17:10
2024-01-30,Blue Pea Flower Tea,20,4.35,87.09,11:17:46
2024-01-30,Sourdough Toast,19,6.21,118.03,11:18:22
2024-01-30,Almond Butter Croissant,20,5.03,100.58,11:18:59
